,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s
5074,100.0,26.7,100.9,0.56,1,145,84.61,0.09721
5075,100.0,26.7,100.8,0.58,1,145,84.61,0.09609
5076,100.0,26.1,100.8,0.6,1,145,84.61,0.09429
5077,100.0,23.9,100.7,0.69,1,145,84.61,0.08724
5078,100.0,23.9,100.7,0.69,1,145,84.61,0.08724
5079,100.0,23.3,100.7,0.71,1,145,84.61,0.08563
5080,100.0,21.7,100.7,0.79,1,145,84.61,0.08036
5081,100.0,21.1,100.8,0.81,1,145,84.61,0.07887
5082,100.0,20.6,100.8,0.84,1,145,84.61,0.07714
5083,100.0,21.1,100.8,0.81,1,145,84.61,0.07887
5084,100.0,21.7,100.9,0.79,1,145,84.61,0.08032
5085,100.0,21.3,100.9,0.76,1,145,84.61,0.08118
5086,100.0,20.9,100.9,0.76,1,145,84.61,0.08074
5087,100.0,20.5,100.9,0.76,1,145,84.61,0.0803
5088,100.0,20.1,100.9,0.79,1,145,84.61,0.07862
5089,100.0,19.7,100.9,0.78,1,145,84.61,0.07858
5090,100.0,19.3,100.9,0.78,1,145,84.61,0.07813
5091,100.0,18.9,100.9,0.78,1,145,84.61,0.07768
5092,100.0,18.3,100.9,0.81,1,145,84.61,0.07584
5093,100.0,18.3,100.9,0.81,1,145,84.61,0.07584
5094,100.0,19.4,101.0,0.79,1,145,84.61,0.07783
5095,100.0,21.1,101.0,0.73,1,145,84.61,0.08223
5096,100.0,22.2,101.0,0.71,1,145,84.61,0.08436
5097,100.0,21.7,101.0,0.73,1,145,84.61,0.0829
5098,100.0,22.2,101.1,0.71,1,145,84.61,0.08434
5099,100.0,22.8,101.1,0.68,1,145,84.61,0.0864
5100,100.0,22.8,101.0,0.71,1,145,84.61,0.08503
5101,100.0,22.2,101.0,0.73,1,145,84.61,0.08346
5102,100.0,22.8,101.0,0.71,1,145,84.61,0.08503
5103,100.0,22.2,100.9,0.71,1,145,84.61,0.08438
5104,100.0,21.1,100.9,0.76,1,145,84.61,0.08096
5105,100.0,20.6,100.9,0.78,1,145,84.61,0.07957
5106,100.0,20.6,100.9,0.73,1,145,84.61,0.08168
5107,100.0,20.0,101.0,0.76,1,145,84.61,0.07971
5108,100.0,20.6,101.0,0.7,1,145,84.61,0.08295
5109,100.0,20.6,101.0,0.73,1,145,84.61,0.08166
5110,100.0,19.4,101.0,0.81,1,145,84.61,0.07703
5111,100.0,20.0,101.1,0.84,1,145,84.61,0.07646
5112,100.0,19.4,101.1,0.87,1,145,84.61,0.07468
5113,100.0,19.4,101.1,0.87,1,145,84.61,0.07468
5114,100.0,19.4,101.1,0.9,1,145,84.61,0.07354
5115,100.0,18.9,101.1,0.9,1,145,84.61,0.07304
5116,100.0,18.3,101.2,0.93,1,145,84.61,0.07133
5117,100.0,18.9,101.2,0.9,1,145,84.61,0.07302
5118,100.0,20.0,101.2,0.87,1,145,84.61,0.07527
5119,100.0,20.0,101.3,0.87,1,145,84.61,0.07525
5120,100.0,20.0,101.3,0.84,1,145,84.61,0.07643
5121,100.0,21.7,101.3,0.76,1,145,84.61,0.08153
5122,100.0,21.7,101.3,0.73,1,145,84.61,0.08284
5123,100.0,22.2,101.2,0.71,1,145,84.61,0.08432
5124,100.0,21.0,101.2,0.78,1,145,84.61,0.07994
5125,100.0,21.0,101.2,0.78,1,145,84.61,0.07994
5126,100.0,22.8,101.2,0.68,1,145,84.61,0.08638
5127,100.0,22.8,101.1,0.67,1,145,84.61,0.08687
5128,100.0,22.2,101.1,0.68,1,145,84.61,0.08571
5129,100.0,23.3,101.1,0.79,1,145,84.61,0.0819
5130,100.0,22.8,101.1,0.68,1,145,84.61,0.0864
5131,100.0,22.8,101.1,0.61,1,145,84.61,0.08976
5132,100.0,20.0,101.1,0.84,1,145,84.61,0.07646
5133,100.0,20.6,101.1,0.78,1,145,84.61,0.07953
5134,100.0,20.6,101.1,0.78,1,145,84.61,0.07953
5135,100.0,20.0,101.1,0.81,1,145,84.61,0.07766
5136,100.0,20.0,101.1,0.78,1,145,84.61,0.07887
5137,100.0,19.4,101.1,0.84,1,145,84.61,0.07584
5138,100.0,19.4,101.1,0.84,1,145,84.61,0.07584
5139,100.0,19.4,101.1,0.84,1,145,84.61,0.07584
5140,100.0,18.9,101.1,0.87,1,145,84.61,0.07417
5141,100.0,19.4,101.1,0.84,1,145,84.61,0.07584
5142,100.0,21.1,101.2,0.76,1,145,84.61,0.0809
5143,100.0,22.8,101.2,0.66,1,145,84.61,0.08733
5144,100.0,24.4,101.2,0.64,1,145,84.61,0.09017
5145,100.0,23.9,101.2,0.66,1,145,84.61,0.0886
5146,100.0,25.0,101.2,0.62,1,145,84.61,0.09188
